vehicle_id,f_location
1,Region A
2,Region A
3,Region A
4,Region A
5,Region A
6,Region A
7,Region A
8,Region A
9,Region A
10,Region A
11,Region A
12,Region A
13,Region A
14,Region A
15,Region C
16,Region A
17,Region A
18,Region A
19,Region C
20,Region B
21,Region B
22,Region B
23,Region B
24,Region B
25,Region A
26,Region A
27,Region A
28,Region A
29,Region A
30,Region C
31,Region A
32,Region C
33,Region A
34,Region A
35,Region A
36,Region A
37,Region A
38,Region A
39,Region A
40,Region A
41,Region A
42,Region A
43,Region A
44,Region A
45,Region A
46,Region A
47,Region A
48,Region A
49,Region A
50,Region A
51,Region B
52,Region B
53,Region B
54,Region C
55,Region C
56,Region B
57,Region A
58,Region C
59,Region A
60,Region B
61,Region A
62,Region A
63,Region A
64,Region A
65,Region A
66,Region A
67,Region A
68,Region A
69,Region A
70,Region A
71,Region A
72,Region C
73,Region A
74,Region A
75,Region A
76,Region A
77,Region B
78,Region B
79,Region B
80,Region B
81,Region A
82,Region C
83,Region C
84,Region A
85,Region C
86,Region A
87,Region A
88,Region A
89,Region A
90,Region A
91,Region A
92,Region A
93,Region A
94,Region A
95,Region A
96,Region A
97,Region A
98,Region A
99,Region A
100,Region A
101,Region A
102,Region A
103,Region B
104,Region A
105,Region A
106,Region A
107,Region A
108,Region A
109,Region C
110,Region A
111,Region C
112,Region C
113,Region A
114,Region A
115,Region B
116,Region A
117,Region A
118,Region B
119,Region B
120,Region B
121,Region B
122,Region A
123,Region B
124,Region C
125,Region A
126,Region A
127,Region A
128,Region A
129,Region A
130,Region C
131,Region A
132,Region C
133,Region A
134,Region A
135,Region A
136,Region A
137,Region A
138,Region A
139,Region A
140,Region A
141,Region A
142,Region B
143,Region B
144,Region B
145,Region C
146,Region C
147,Region A
148,Region B
149,Region B
150,Region C
151,Region C
152,Region B
153,Region A
154,Region A
155,Region A
156,Region A
157,Region A
158,Region A
159,Region A
160,Region A
161,Region A
162,Region A
163,Region A
164,Region A
165,Region A
166,Region A
167,Region A
168,Region C
169,Region A
170,Region A
171,Region A
172,Region C
173,Region B
174,Region C
175,Region A
176,Region B
177,Region A
178,Region B
179,Region B
180,Region B
181,Region B
182,Region C
183,Region B
184,Region B
185,Region A
186,Region A
187,Region B
188,Region A
189,Region A
190,Region A
191,Region A
192,Region A
193,Region A
194,Region A
195,Region A
196,Region A
197,Region A
198,Region B
199,Region C
200,Region A
201,Region A
202,Region A
203,Region A
204,Region B
205,Region C
206,Region C
207,Region A
208,Region B
209,Region A
210,Region B
211,Region C
212,Region B
213,Region A
214,Region A
215,Region A
216,Region A
217,Region C
218,Region A
219,Region B
220,Region A
221,Region C
222,Region A
223,Region A
224,Region A
225,Region A
226,Region A
227,Region A
228,Region A
229,Region A
230,Region A
231,Region A
232,Region A
233,Region A
234,Region B
235,Region A
236,Region C
237,Region A
238,Region A
239,Region A
240,Region C
241,Region B
242,Region C
243,Region B
244,Region C
245,Region B
246,Region A
247,Region C
248,Region C
249,Region C
250,Region A
251,Region A
252,Region A
253,Region A
254,Region A
255,Region A
256,Region A
257,Region A
258,Region A
259,Region A
260,Region A
261,Region A
262,Region A
263,Region A
264,Region A
265,Region A
266,Region A
267,Region A
268,Region C
269,Region C
270,Region A
271,Region C
272,Region A
273,Region A
274,Region C
275,Region B
276,Region B
277,Region B
278,Region B
279,Region B
280,Region C
281,Region A
282,Region A
283,Region A
284,Region A
285,Region A
286,Region A
287,Region A
288,Region A
289,Region A
290,Region A
291,Region A
292,Region A
293,Region A
294,Region B
295,Region C
296,Region A
297,Region A
298,Region B
299,Region A
300,Region B
301,Region A
302,Region A
303,Region A
304,Region C
305,Region B
306,Region A
307,Region A
308,Region A
309,Region A
310,Region B
311,Region C
312,Region A
313,Region C
314,Region A
315,Region A
316,Region A
317,Region A
318,Region B
319,Region C
320,Region C
321,Region C
322,Region C
323,Region C
324,Region A
325,Region C
326,Region B
327,Region B
328,Region B
329,Region B
330,Region C
331,Region B
332,Region C
333,Region B
334,Region C
335,Region C
336,Region B
337,Region A
338,Region C
339,Region A
340,Region A
341,Region A
342,Region A
343,Region A
344,Region C
345,Region A
346,Region C
347,Region C
348,Region C
349,Region C
350,Region C
351,Region A
352,Region A
353,Region A
354,Region B
355,Region B
356,Region C
357,Region C
358,Region C
359,Region C
360,Region B
361,Region B
362,Region C
363,Region C
364,Region A
365,Region A
366,Region A
367,Region A
368,Region A
369,Region A
370,Region A
371,Region A
372,Region A
373,Region A
374,Region A
375,Region A
376,Region B
377,Region C
378,Region C
379,Region A
380,Region A
381,Region C
382,Region C
383,Region C
384,Region C
385,Region C
386,Region C
387,Region A
388,Region A
389,Region A
390,Region A
391,Region C
392,Region A
393,Region A
394,Region A
395,Region B
396,Region A
397,Region A
398,Region A
